VIC,114,88,TRENERRY CR,,,ABBOTSFORD,3067,UN,,,22/04/2017,,Jellis Craig - Richmond,2,2,
VIC,,50,KERFERD RD,,,ALBERT PARK,3206,HO,,,22/04/2017,,CAYZER REAL ESTATE PTY LTD,3,1,1
VIC,3,8,RAYNER ST,,,ALTONA,3018,UN,,,22/04/2017,,HOCKINGSTUART ALTONA,2,1,2
VIC,2,45,SPICER BVD,,,ALTONA MEADOWS,3028,UN,,,22/04/2017,,YPA GLADSTONE PARK,2,2,2
VIC,,17,CHERRY AV,,,ALTONA NORTH,3025,HO,,,22/04/2017,,HOCKINGSTUART WILLIAMSTOWN,3,1,3
VIC,,10,CHURCHILL AV,,,ARARAT,3377,HO,,,21/04/2017,,Elders Real Estate Ararat,3,1,
VIC,,20,MCLAUGHLIN ST,,,ARDEER,3022,HO,,,22/04/2017,,Barry Plant sunshine,3,1,
VIC,,18,SUSPENSION ST,,,ARDEER,3022,HO,,,22/04/2017,,Stockdale & Leggo Sunshine,2,,
VIC,8,16,WATTLETREE RD,,,ARMADALE,3143,UN,,,22/04/2017,,Jellis Craig Armadale,2,1,2
VIC,1,5,THE TERRACE,,,ARMADALE,3143,UN,,,22/04/2017,,WOODARDS ELSTERNWICK,2,1,1
VIC,7,7,WATTLETREE RD,,,ARMADALE,3143,UN,,,22/04/2017,,Jellis Craig  - Armadale,2,1,
VIC,4,10,ST GEORGES RD,,,ARMADALE,3143,UN,,,22/04/2017,,Kay & Burton South Yarra,3,2,2
VIC,1B,33,FISHER PDE,,,ASCOT VALE,3032,UN,,,22/04/2017,,Rendina Real Estate Kensington,2,2,1
VIC,,24,BAIRD ST,,,ASHBURTON,3147,HO,,,22/04/2017,,Jellis Craig Real Estate Glen Iris,3,2,2
VIC,2,444,WARRIGAL RD,,,ASHBURTON,3147,UN,,,22/04/2017,,Fletchers Blackburn,2,1,1
VIC,,124,HIGH STREET RD,,,ASHWOOD,3147,HO,,,22/04/2017,,Buxton Ashburton,3,1,2
VIC,,17,DOLPHIN ST,,,ASPENDALE,3195,HO,,,22/04/2017,,Hocking Stuart Mentone,4,2,
VIC,,4A,NIRRINGA AV,,,ASPENDALE,3195,HO,,,22/04/2017,,BARRY PLANT,4,2,2
VIC,,4,CAMILLE CT,,,AVONDALE HEIGHTS,3034,HO,,,22/04/2017,,Moonee Valley Real Estate,5,2,2
VIC,,30,CLARENDON ST,,,AVONDALE HEIGHTS,3034,HO,,,22/04/2017,,Moonee Valley Real Estate,3,1,1
VIC,,53,DOYLE ST,,,AVONDALE HEIGHTS,3034,HO,,,22/04/2017,,Moonee Valley Real Estate,3,1,1
VIC,,23,LANGHAM ST,,,AVONDALE HEIGHTS,3034,HO,,,22/04/2017,,Nelson Alexander Real Estate,3,2,
VIC,4,20,CARLISLE AV,,,BALACLAVA,3183,UN,,,22/04/2017,,MARSHALL WHITE ONE,2,1,1
VIC,2,109,RIPON ST,,,BALLARAT CENTRAL,3350,UN,,,22/04/2017,,Professionals - Ballarat,2,1,
VIC,,209A,DOVETON ST,,,BALLARAT CENTRAL,3350,HO,,,22/04/2017,,BUXTON BALLARAT,4,1,5
VIC,,12,POWER ST,,,BALWYN,3103,HO,,,22/04/2017,,Fletchers Real Estate,3,1,
VIC,,27A,YERRIN ST,,,BALWYN,3103,UN,,,22/04/2017,,Fletchers Real Estate,3,3,
VIC,,19,JOCELYN AV,,,BALWYN NORTH,3104,HO,,,22/04/2017,,Fletchers - Manningham,3,1,
VIC,,48,LONGVIEW RD,,,BALWYN NORTH,3104,HO,,,22/04/2017,,Noel Jones Real Estate Balwyn,5,3,2
VIC,,3,FRANK ST,,,BALWYN NORTH,3104,HO,,,22/04/2017,,HOCKINGSTUART BALWYN & HAWTHORN,5,3,3
VIC,,151,MOOROODUC HWY,,,BAXTER,3911,HO,,,22/04/2017,,EVIEW GROUP MORNINGTON PENINSULA,4,3,4
VIC,,9,EDINBURGH RD,,,BAYSWATER,3153,HO,,,19/04/2017,,HARCOURTS - TORRENSVILLE,3,2,4
VIC,1,8,ASHBY CT,,,BAYSWATER,3153,UN,,,22/04/2017,,K R Peters Real Estate,2,1,
VIC,,26,KINGS COLLEGE DR,,,BAYSWATER,3153,HO,,,22/04/2017,,Biggin Scott Boronia,4,2,
VIC,1,11,WILTSHIRE AV,,,BAYSWATER,3153,HO,,,22/04/2017,,Appleby Real Estate -  Bayswater,3,2,
VIC,,110,SETTLEMENT RD,,,BELMONT,3216,HO,,,22/04/2017,,RAY WHITE HIGHTON,3,2,2
VIC,,68,REGENT ST,,,BELMONT,3216,HO,,,22/04/2017,,RAY WHITE HIGHTON,3,1,2
VIC,,5B,FAIRBRAE AV,,,BELMONT,3216,HO,,,22/04/2017,,Whitford Property Newtown,3,1,1
VIC,2,36B,CLARKE AV,,,BELMONT,3216,UN,,,22/04/2017,,Buxton Highton,3,2,2
VIC,,133,WILLS ST,,,BENDIGO,3550,HO,,,22/04/2017,,Tweed Sutherland Real Estate,3,2,1
VIC,,66,HONEYSUCKLE ST,,,BENDIGO,3550,HO,,,22/04/2017,,Dungey Carter Ketterer Pty Ltd,3,2,
VIC,,24A,ACACIA ST,,,BENDIGO,3550,HO,,,22/04/2017,,Gavin Butler Real Estate,3,1,1
VIC,8,28,CLAIRMONT AV,,,BENTLEIGH,3204,UN,,,22/04/2017,,Buxton Real Estate Bentleigh,3,2,2
VIC,,6B,HOWELL ST,,,BENTLEIGH,3204,UN,,,22/04/2017,,Woodards Real Estate Bentleigh,3,1,2
VIC,,8,PLYM ST,,,BENTLEIGH,3204,LA,,,22/04/2017,,Woodards Real Estate Bentleigh,,,
VIC,,126A,JASPER RD,,,BENTLEIGH,3204,UN,,,22/04/2017,,PURPLEBRICKS VIC,3,2,2
VIC,2,23,WHITMUIR RD,,,BENTLEIGH,3204,UN,,,22/04/2017,,HOCKINGSTUART BENTLEIGH,3,1,1
VIC,2,6,RICHARD ST,,,BENTLEIGH EAST,3165,UN,,,22/04/2017,,Buxton Real Estate Bentleigh,3,2,2
VIC,1,5,LOIS CT,,,BENTLEIGH EAST,3165,UN,,,22/04/2017,,HOCKINGSTUART BENTLEIGH,3,1,2
VIC,,54,BRISBANE ST,,,BERWICK,3806,HO,,,22/04/2017,,BARRY PLANT BERWICK,3,1,1
VIC,6,45,BLUFF RD,,,BLACK ROCK,3193,UN,,,22/04/2017,,CHISHOLM & GAMON PROPERTY BLACK ROCK PTY LTD,3,2,2
VIC,,225,SPRINGFIELD RD,,,BLACKBURN NORTH,3130,HO,,,22/04/2017,,IHOMES REAL ESTATE,3,1,1
VIC,,18,PARAMOUNT AV,,,BLACKBURN SOUTH,3130,HO,,,22/04/2017,,JY PROPERTY,4,3,
VIC,1,1,DAROOK ST,,,BLACKBURN SOUTH,3130,UN,,,22/04/2017,,Woodards Real Estate Blackburn,3,2,2
VIC,,17,ALLEYNE AV,,,BONBEACH,3196,HO,,,22/04/2017,,Biggin & Scott Aspendale,3,1,2
VIC,7,15,HARDING AV,,,BONBEACH,3196,UN,,,22/04/2017,,EVIEW GROUP CHELSEA,2,1,1
VIC,6,513,NEPEAN HWY,,,BONBEACH,3196,UN,,,22/04/2017,,Hocking Stuart Chelsea,2,1,1
VIC,6,2A,NEWBERRY AV,,,BONBEACH,3196,UN,,,22/04/2017,,HOCKINGSTUART CHELSEA (SALES),2,2,2
VIC,,112,HYSLOPS RD,,,BONEO,3939,HO,,,23/04/2017,,Kay & Burton Real Estate,3,3,3
VIC,,36,AVINGTON CR,,,BORONIA,3155,HO,,,22/04/2017,,Biggin & Scott Knox,4,2,2
VIC,,344,BORONIA RD,,,BORONIA,3155,HO,,,22/04/2017,,Benchmark Real Estate,4,2,4
VIC,3,25,ALBERT AV,,,BORONIA,3155,UN,,,22/04/2017,,Biggin & Scott Knox,2,1,1
VIC,,11,HILDA AV,,,BORONIA,3155,LA,,,20/04/2017,,Ray White Real Estate Ferntree Gully,,,
VIC,,8,FINLOW ST,,,BOTANIC RIDGE,3977,HO,,,22/04/2017,,EVIEW GROUP,4,2,4
VIC,,11,HOWARD ST,,,BOX HILL,3128,HO,,,22/04/2017,,Buxton Box Hill,3,2,2
VIC,,12,HOWARD ST,,,BOX HILL,3128,HO,,,22/04/2017,,Buxton Box Hill,3,2,4
VIC,4,18,BARKLY ST,,,BOX HILL,3128,UN,,,22/04/2017,,McGrath - Box Hill,2,1,1
VIC,,10,SEDGE CL,,,BRAYBROOK,3019,HO,,,22/04/2017,,NELSON ALEXANDER - KEILOR EAST,4,3,
VIC,13,25,MARNOO ST,,,BRAYBROOK,3019,UN,,,22/04/2017,,Barry Plant sunshine,3,2,1
VIC,,141,KARINGAL DR,,,BRIAR HILL,3088,HO,,,22/04/2017,,Barry Plant Eltham,3,1,
VIC,1,30,BOYCE AV,,,BRIAR HILL,3088,UN,,,22/04/2017,,Buckingham & Co Estate Agents,2,2,
VIC,3,12,WELLINGTON ST,,,BRIGHTON,3186,UN,,,22/04/2017,,Nick Johnstone Real Estate - Brighton,3,2,
VIC,,45A,BAY ST,,,BRIGHTON,3186,HO,,,22/04/2017,,J P Dixon Real Estate ,3,2,
VIC,,43,BLACK ST,,,BRIGHTON,3186,HO,,,22/04/2017,,Buxton Real Estate,4,2,
VIC,,5,BLAIRGOWRIE CT,,,BRIGHTON,3186,HO,,,22/04/2017,,Biggin & Scott Real Estate Brighton,3,2,4
VIC,,868,HAMPTON ST,,,BRIGHTON,3186,UN,,,22/04/2017,,WESTON MELBOURNE,3,,
VIC,,56,ASLING ST,,,BRIGHTON,3186,HO,,,22/04/2017,,Buxton Real Estate Brighton,3,2,
VIC,,19,BRICKWOOD ST,,,BRIGHTON,3186,UN,,,22/04/2017,,Biggin & Scott Real Estate Brighton,4,3,2
VIC,1,250,ESPLANADE,,,BRIGHTON,3186,UN,,,22/04/2017,,Nick Johnstone Real Estate - Brighton,3,2,
VIC,,6,CORONATION ST,,,BRIGHTON EAST,3187,HO,,,22/04/2017,,Hodges Real Estate Brighton,3,1,1
VIC,,46,GLENCAIRN AV,,,BRIGHTON EAST,3187,HO,,,22/04/2017,,Buxton Real Estate Brighton,2,1,
VIC,,2,HOLBERRY ST,,,BROADMEADOWS,3047,HO,,,22/04/2017,,ypa estate agents Glenroy,3,1,1
VIC,,59,WARANGA CR,,,BROADMEADOWS,3047,HO,,,22/04/2017,,Barry Plant Glenroy,3,2,
VIC,,183,WIDFORD ST,,,BROADMEADOWS,3047,HO,,,22/04/2017,,ypa estate agents Glenroy,3,1,1
VIC,,6,MILLERS RD,,,BROOKLYN,3012,HO,,,22/04/2017,,HOCKINGSTUART ALTONA,2,1,2
VIC,,380,FERNBANK RD,,,BROWNS PLAINS,3685,HO,,,22/04/2017,,Brian Unthank Real Estate,4,2,
VIC,,286,BARKLY ST,,,BRUNSWICK,3056,CO,,,22/04/2017,,Barry Plant Brunswick,,,
VIC,,68,GOLD ST,,,BRUNSWICK,3056,HO,,,22/04/2017,,Nelson Alexander Real Estate Brunswick,3,1,
VIC,2,139,UNION ST,,,BRUNSWICK,3056,UN,,,22/04/2017,,brad teal brunswick,2,1,1
VIC,1,135,BRUNSWICK RD,,,BRUNSWICK,3056,UN,,,22/04/2017,,,2,1,1
VIC,,7,WEIGALL ST,,,BRUNSWICK EAST,3057,HO,,,22/04/2017,,JELLIS CRAIG BRUNSWICK,3,1,1
VIC,8,380,LYGON ST,,,BRUNSWICK EAST,3057,UN,,,22/04/2017,,HOCKINGSTUART PRESTON,2,1,1
VIC,322,92,ALBERT ST,,,BRUNSWICK EAST,3057,UN,,,22/04/2017,,Jellis Craig - Kensington,2,2,1
VIC,11,33,MCLEAN ST,,,BRUNSWICK WEST,3055,UN,,,22/04/2017,,Peter Markovic Real Estate,3,2,1
VIC,6,10,FITZGIBBON AV,,,BRUNSWICK WEST,3055,UN,,,22/04/2017,,Walshe and Whitelock Brunswick,2,1,1
VIC,,40,MAIN RD,,,BUCHAN,3885,HO,,,22/04/2017,,Elders Real Estate Bairnsdale,3,1,1
VIC,,5,ENGLAND ST,,,BULLEEN,3105,HO,,,22/04/2017,,Barry Plant Doncaster East,4,1,2
VIC,,25,GRANT OLSON AV,,,BULLEEN,3105,HO,,,22/04/2017,,Barry Plant Doncaster East,4,3,2
VIC,,10,MAROONDAH TCE,,,BUNDOORA,3083,HO,,,22/04/2017,,Love Real Estate - Mill Park,3,1,
VIC,,3,LATROBE AV,,,BUNDOORA,3083,HO,,,22/04/2017,,Barry Plant Bundoora,3,1,1
VIC,,40,GRANGE BVD,,,BUNDOORA,3083,HO,,,22/04/2017,,Ray White Real Estate South Morang,3,2,2
VIC,,21,WINDMILL ST,,,BUNDOORA,3083,HO,,,22/04/2017,,Barry Plant Bundoora,4,2,2
VIC,,56,CAMERON PDE,,,BUNDOORA,3083,HO,,,22/04/2017,,Stockdale & Leggo Bundoora,3,1,2
VIC,,10,ELLE CL,,,BUNDOORA,3083,HO,,,22/04/2017,,Barry Plant Bundoora,6,6,
VIC,,10,DENDARYL DR,,,BUNDOORA,3083,HO,,,22/04/2017,,Darren Jones Real Estate,4,3,1
VIC,,34,MILTON PDE,,,BUNDOORA,3083,HO,,,22/04/2017,,Barry Plant Bundoora,3,1,1
VIC,,94,NICKSON ST,,,BUNDOORA,3083,UN,,,22/04/2017,,Ray White Bundoora,3,2,1
VIC,,30,SUGAR GUM DR,,,BUNDOORA,3083,HO,,,22/04/2017,,Ray White Bundoora,4,2,2
VIC,,300,MACKIES RD,,,BUNGALALLY,3401,LA,,,21/04/2017,,Elders Horsham,,,
VIC,,5,WATERSIDE DR,,,BURNSIDE HEIGHTS,3023,HO,,,22/04/2017,,HOMES GROUP ESTATE AGENTS ST ALBANS,3,2,
VIC,,1,WENTWORTH LA,,,BURNSIDE HEIGHTS,3023,HO,,,21/04/2017,,One Agency Sunbury Region - SUNBURY,2,1,
VIC,,7,NAOMI ST,,,BURNSIDE HEIGHTS,3023,HO,,,22/04/2017,,YPA ESTATE AGENTS - CAROLINE SPRINGS,4,2,
VIC,,3,SYON CT,,,BURNSIDE HEIGHTS,3023,LA,,,22/04/2017,,PROFESSIONALS - CAROLINE SPRINGS,,,
VIC,,1A,WORRALL ST,,,BURWOOD,3125,HO,,,22/04/2017,,Woodards Real Estate Blackburn,3,2,
VIC,,1,LEONARD ST,,,BURWOOD,3125,HO,,,22/04/2017,,BUXTON CAMBERWELL,3,1,1
VIC,,19,BRONTE AV,,,BURWOOD,3125,HO,,,22/04/2017,,,3,1,1
VIC,3,3,TALBETT ST,,,BURWOOD,3125,UN,,,22/04/2017,,BUXTON CAMBERWELL,4,3,2
VIC,,9,INGA ST,,,BURWOOD EAST,3151,HO,,,22/04/2017,,Barry Plant Blackburn,4,2,2
VIC,,637,HIGHBURY RD,,,BURWOOD EAST,3151,HO,,,22/04/2017,,,4,2,5
